method_id,family,source_ref,architecture,state_boundary,spatial_path,global_path,readout,training,hard_runtime,status,conclusion,evidence
dlgn_2input,DLGN,main,"fixed random two-input 16-function LGN",one Boolean bit per gate,none,feed-forward random wiring,GroupSum,relaxed softmax then argmax,bool gate tables,reference,"required bad-gap baseline; useful hard accuracy and gap must both be reported",../docs/reports/mind_gap_scaled_hard_lgn_results_20260723.md
dlgn_anneal,DLGN,main,"DLGN with temperature and entropy schedule",one Boolean bit per gate,none,feed-forward random wiring,GroupSum,annealed relaxed training,bool gate tables,screen,"sometimes improves hard accuracy but not a universal gap/capacity solution",../docs/reports/mind_gap_scaled_hard_lgn_results_20260723.md
gumbel_st_lgn,Mind-the-Gap,main,"fixed-wiring 16-function LGN",hard Boolean forward,none,feed-forward random wiring,GroupSum,Gumbel-Softmax straight-through,bool gate tables,reference,"strong direct gap baseline; low gap with collapsed accuracy is not a win",../docs/reports/mind_gap_scaled_hard_lgn_results_20260723.md
block_hard_refit,Hard-LGN,main,"block-wise relaxed LGN with per-block truth-table replacement",hard Boolean frozen prefixes,none,feed-forward block stack,GroupSum,block train then local truth-table fit,bool gate tables,screen,"prevents depth-wise mismatch accumulation but does not fix unused gates or image accuracy",../docs/reports/mind_gap_scaled_hard_lgn_results_20260723.md
block_task_refit,Hard-LGN,main,"block-wise hard LGN with task-aware coordinate refit",hard Boolean frozen prefixes,none,feed-forward block stack,GroupSum,task-aware local refit,bool gate tables,screen,"smaller average Boolean-task gap than direct refit but lower hard accuracy",../docs/reports/mind_gap_scaled_hard_lgn_results_20260723.md
lightlogic_iwp_st,LightLogic,main,"two-input four-entry IWP truth tables",one Boolean bit per gate,none,fixed random wiring,GroupSum,straight-through IWP,bool gate tables,screen,"parameter-efficient and competitive on selected small tasks; conditional not universal",../docs/methods_and_results_summary_20260710.md
full_k_count,Hard-LGN,main,"K-input truth-table expansion with full popcount propagation",integer count levels,none,feed-forward expanded LUTs,discrete GroupSum or diagnostic head,teacher expansion and calibration,bool LUT plus integer counters,screen,"strong evidence that repeated one-bit thresholding is the primary information loss",../docs/repro/210_hard_lgn_results_20260723/README.md
direct_lut_b3,LightLogic,main,"direct-trained three-input LUT network",one Boolean bit per LUT,none,fixed random LUT wiring,GroupSum,end-to-end relaxed LUT then hard table,bool LUT tables,screen,"best local-LUT evidence on matched binarized MNIST but cost rises sharply",../docs/methods_and_results_summary_20260710.md
bitstate_progressive,BitState,325f249,"persistent Boolean tokens with fixed wiring and progressive hardening",bool,local two-input gate blocks,XNOR-popcount Top-K plus majority message,integer GroupSum,soft warmup then hard-ST,bool/int reference,screen,"very small gap and few entropy-unused gates but hard CIFAR accuracy remains low",../docs/repro/bitstate_h200_long_cifar_20260723/README.md
bitstate_count_token,BitState,325f249,"persistent Boolean tokens with learned integer global-token thresholds",bool,local two-input gate blocks,XNOR-popcount Top-K plus majority message,integer GroupSum,progressive hard-ST,bool/int reference,screen,"count threshold improves short-budget hard accuracy but only at the input global token",../docs/repro/bitstate_count_token_screen_20260723/README.md
